Rank,epoch,train_MSE,train_RMSE,train_R2,validation_MSE,validation_RMSE,validation_R2,best_so_far
128,660,2006.863892,44.79803446,0.405231178,2706.730469,52.02624788,0.205121875,FALSE
129,633,2028.430664,45.03810236,0.398839474,2707.023926,52.02906808,0.205035746,FALSE
130,535,2064.497803,45.43674507,0.388150394,2707.259277,52.03132977,0.204966605,FALSE
131,456,2128.530762,46.13600288,0.36917311,2707.50415,52.03368284,0.204894662,FALSE
132,493,2059.12207,45.37755029,0.389743567,2707.609131,52.03469161,0.204863846,FALSE
133,577,2046.274902,45.23577016,0.393551052,2708.367432,52.04197759,0.204641223,FALSE
134,729,1976.495728,44.45779715,0.4142313,2708.886475,52.04696412,0.204488754,FALSE
135,639,2015.19519,44.89092548,0.402762055,2709.121582,52.04922268,0.204419732,FALSE
136,739,1975.394653,44.44541206,0.414557636,2709.275635,52.05070254,0.204374492,FALSE
137,574,2025.616699,45.00685169,0.399673462,2709.327881,52.05120441,0.204359114,FALSE
138,483,2071.568359,45.51448516,0.386054933,2709.567383,52.053505,0.204288781,FALSE
139,769,1962.222534,44.2969811,0.418461442,2710.084717,52.05847402,0.204136908,FALSE
140,390,2130.242432,46.15454941,0.368665874,2710.149658,52.05909775,0.204117775,FALSE
141,732,1971.162598,44.39777694,0.415811896,2710.475342,52.06222567,0.204022169,FALSE
142,468,2093.533203,45.75514401,0.379545212,2710.532227,52.06277198,0.20400548,FALSE
143,376,2128.762451,46.13851375,0.369104445,2710.809082,52.06543078,0.203924179,FALSE
144,650,2002.81958,44.75287231,0.406429827,2710.836914,52.06569806,0.203915954,FALSE
145,614,2027.720825,45.03022124,0.399049878,2710.960693,52.06688673,0.203879595,FALSE
146,454,2090.588623,45.7229551,0.380417883,2711.307617,52.07021814,0.20377773,FALSE
147,536,2062.432373,45.41401076,0.388762534,2711.32373,52.07037287,0.203773022,FALSE
148,609,2055.239746,45.33475208,0.390894175,2711.468018,52.07175835,0.203730643,FALSE
149,722,1987.541626,44.5818531,0.410957694,2711.568604,52.07272418,0.203701079,FALSE
150,580,2026.171021,45.01300946,0.399509192,2712.222656,52.07900399,0.203509033,FALSE
151,658,2052.727295,45.30703361,0.391638815,2712.242432,52.07919385,0.203503191,FALSE
152,436,2118.352783,46.02556663,0.372189522,2712.304932,52.07979389,0.203484833,FALSE
153,467,2111.157959,45.94733898,0.374321878,2712.305664,52.07980092,0.203484654,FALSE
154,613,2052.845215,45.30833494,0.391603827,2712.525146,52.08190805,0.203420222,FALSE
155,425,2104.545898,45.87532995,0.37628144,2712.543457,52.08208384,0.203414798,FALSE
156,605,2037.317871,45.13665773,0.396205664,2712.872803,52.08524554,0.203318059,FALSE
157,451,2089.369141,45.70961759,0.380779386,2712.96167,52.08609862,0.203292012,FALSE
158,503,2051.123779,45.28933406,0.392114043,2713.501709,52.09128247,0.203133404,FALSE
159,688,2018.490234,44.92761105,0.401785553,2714.39917,52.09989606,0.202869892,FALSE
160,782,1958.37793,44.25356403,0.419600844,2714.764404,52.10340108,0.202762604,FALSE
161,610,2021.227783,44.95806694,0.400974214,2715.042725,52.10607186,0.202680886,FALSE
162,393,2136.822998,46.22578283,0.36671555,2715.197021,52.10755244,0.202635527,FALSE
163,746,1980.786743,44.50603041,0.412959635,2715.368652,52.10919931,0.202585161,FALSE
164,354,2155.749756,46.43005229,0.361106277,2715.45752,52.110052,0.202559054,TRUE
165,398,2135.764893,46.21433644,0.36702913,2715.71875,52.11255847,0.202482402,FALSE
166,421,2116.115967,46.00126049,0.372852445,2716.070068,52.11592912,0.202379227,FALSE
167,709,1981.917847,44.51873591,0.412624359,2716.148193,52.11667865,0.202356219,FALSE
168,565,2080.542236,45.61296128,0.383395314,2716.206543,52.11723844,0.202339113,FALSE
169,495,2102.074707,45.84838827,0.377013862,2716.334717,52.1184681,0.202301443,FALSE
170,598,2084.57373,45.65713231,0.382200539,2716.539307,52.1204308,0.202241421,FALSE
171,670,1998.270874,44.70202315,0.407777846,2716.611084,52.12111937,0.202220261,FALSE
172,566,2047.912598,45.25386832,0.393065691,2716.736328,52.12232082,0.202183485,FALSE
173,770,1984.197144,44.54432785,0.41194886,2716.792969,52.12286416,0.202166915,FALSE
174,530,2087.016602,45.68387682,0.381476521,2716.932373,52.12420141,0.202125967,FALSE
175,441,2132.68042,46.180953,0.367943287,2717.362061,52.12832302,0.201999784,FALSE
176,611,2038.9375,45.15459556,0.395725608,2717.709961,52.13165987,0.201897621,FALSE
177,677,1993.115845,44.64432601,0.409305692,2717.882324,52.133313,0.201847017,FALSE
178,629,2020.851318,44.9538799,0.401085794,2717.936768,52.13383515,0.201830983,FALSE
179,607,2054.887695,45.33086912,0.390998483,2718.066162,52.13507612,0.201793015,FALSE
180,781,1962.853882,44.30410683,0.418274343,2718.117676,52.13557016,0.201777816,FALSE
181,382,2134.84082,46.20433768,0.367303014,2718.318359,52.13749476,0.201718926,FALSE
182,730,1985.778198,44.5620713,0.411480308,2718.462891,52.1388808,0.201676488,FALSE
183,384,2149.583496,46.36360098,0.362933755,2718.977539,52.14381592,0.201525331,FALSE
184,814,1952.459473,44.1866436,0.42135489,2719.034668,52.14436372,0.201508582,FALSE
185,568,2060.97583,45.39797165,0.389194191,2719.104004,52.14502856,0.201488197,FALSE
186,735,2002.459473,44.74884884,0.40653652,2719.137451,52.14534928,0.201478422,FALSE
187,737,1978.854126,44.48431326,0.413532376,2719.2229,52.14616861,0.201453269,FALSE
188,738,1979.582397,44.49249822,0.413316548,2719.334961,52.14724308,0.201420426,FALSE
189,747,1966.979126,44.35063839,0.417051733,2719.339111,52.14728288,0.201419175,FALSE
190,701,2004.269043,44.76906346,0.406000257,2719.403564,52.14790086,0.20140022,FALSE
191,410,2113.150635,45.96901821,0.373731315,2719.605469,52.14983671,0.201340914,FALSE
192,473,2093.026611,45.74960777,0.379695356,2720.006836,52.15368478,0.201223075,FALSE
193,370,2165.495605,46.5348859,0.358217955,2720.274414,52.15625,0.201144516,FALSE
194,702,1992.673218,44.63936847,0.409436822,2720.37207,52.15718618,0.201115847,FALSE
195,780,1965.848145,44.33788611,0.417386949,2720.622559,52.15958741,0.201042295,FALSE
196,786,1970.903564,44.39485966,0.415888667,2720.746338,52.16077394,0.201005876,FALSE
197,420,2119.10376,46.03372416,0.371967018,2721.251709,52.16561807,0.20085752,FALSE
198,385,2143.009521,46.29265084,0.364882052,2721.66626,52.16959133,0.200735807,FALSE
199,616,2036.510254,45.12771049,0.396444976,2721.677979,52.16970365,0.20073235,FALSE
200,752,1965.514526,44.33412372,0.417485774,2722.163086,52.17435276,0.200589895,FALSE
201,628,2038.921021,45.15441308,0.395730495,2722.641602,52.17893829,0.200449347,FALSE
202,716,1984.140991,44.54369755,0.411965489,2723.177734,52.18407549,0.200291872,FALSE
203,912,1943.110474,44.08072678,0.424125612,2723.294678,52.18519596,0.20025754,FALSE
204,449,2144.764893,46.31160646,0.364361823,2723.435059,52.18654097,0.200216293,FALSE
205,541,2085.174072,45.66370629,0.382022619,2724.005859,52.19200954,0.200048745,FALSE
206,666,2006.133057,44.78987672,0.405447781,2724.316162,52.19498215,0.19995755,FALSE
207,389,2136.325195,46.22039804,0.366863072,2724.468018,52.19643683,0.199912965,FALSE
208,773,1972.786499,44.41606127,0.415330648,2724.618408,52.19787743,0.199868798,FALSE
209,399,2135.208252,46.20831367,0.367194116,2724.659912,52.19827499,0.199856579,FALSE
210,751,1980.294556,44.50050062,0.413105488,2724.911377,52.20068368,0.199782729,FALSE
211,582,2074.594727,45.54771922,0.385158002,2724.920166,52.20076787,0.199780166,FALSE
212,413,2152.131836,46.39107496,0.362178504,2725.04126,52.20192774,0.199744642,FALSE
213,405,2159.924805,46.47499117,0.359869003,2725.921387,52.21035708,0.199486136,FALSE
214,811,1953.859375,44.20248155,0.420939982,2726.043213,52.21152376,0.199450374,FALSE
215,779,1958.686035,44.25704503,0.41950953,2726.259277,52.21359284,0.199386895,FALSE
216,733,1997.708984,44.69573788,0.407944381,2726.43042,52.21523169,0.199336648,FALSE
