cancer_rate,avg_annual_count,five_year_trend,rural_rural,rural_urban,trend_,trend_falling,trend_rising,trend_stable
505.4,2284,0,0,1,0,0,0,1
505.4,164,1,1,0,0,0,1,0
505.4,178,0,0,1,0,0,0,1
505.3,165,0.2,0,1,0,0,0,1
505.3,2158,-0.8,0,1,0,1,0,0
505.3,20,1.2,1,0,0,0,0,1
505.2,314,0.1,0,1,0,0,0,1
505.2,126,0.2,0,1,0,0,0,1
505.1,47,7.4,1,0,0,0,1,0
505.1,96,1.1,1,0,0,0,0,1
505,54,-0.2,0,1,0,0,0,1
505,289,-0.1,1,0,0,0,0,1
504.9,116,0.1,1,0,0,0,0,1
504.9,29,-0.7,1,0,0,0,0,1
504.9,1173,0.1,0,1,0,0,0,1
504.8,153,0,0,1,0,0,0,1
504.8,81,3.9,0,1,0,0,1,0
504.7,1072,0.2,0,1,0,0,0,1
504.7,80,-0.7,1,0,0,0,0,1
504.6,1030,-4.7,0,1,0,1,0,0
504.5,240,0.6,1,0,0,0,0,1
504.5,105,-999,1,0,1,0,0,0
504.5,49,-0.4,1,0,0,0,0,1
504.5,244,0.1,1,0,0,0,0,1
504.4,1270,0.4,0,1,0,0,0,1
504.4,902,-0.4,0,1,0,0,0,1
504.3,234,1.5,0,1,0,0,1,0
504.3,145,0,0,1,0,0,0,1
504.3,1045,-0.9,0,1,0,1,0,0
504.2,158,-0.2,0,1,0,0,0,1
504.2,146,-0.1,0,1,0,0,0,1
504.1,89,0.8,1,0,0,0,0,1
504.1,54,0.5,1,0,0,0,0,1
504,376,-0.7,1,0,0,0,0,1
504,143,-0.4,1,0,0,0,0,1
504,1584,0.8,0,1,0,0,1,0
503.9,336,-0.2,0,1,0,0,0,1
503.9,94,4.5,1,0,0,0,0,1
503.9,105,1,1,0,0,0,0,1
503.8,205,0.4,1,0,0,0,0,1
503.7,4,-999,1,0,1,0,0,0
503.6,16,1.1,1,0,0,0,0,1
503.5,359,0.1,0,1,0,0,0,1
503.5,143,0.4,1,0,0,0,0,1
503.5,476,-1.9,1,0,0,0,0,1
503.4,115,-1.9,1,0,0,1,0,0
503.4,1315,-0.2,0,1,0,0,0,1
503.2,195,0.1,1,0,0,0,0,1
503.1,84,5.3,1,0,0,0,0,1
503.1,50,0.6,1,0,0,0,0,1
503.1,115,-0.3,1,0,0,0,0,1
502.9,1415,0.1,0,1,0,0,0,1
502.9,135,0.6,0,1,0,0,0,1
502.9,103,-0.1,1,0,0,0,0,1
502.9,224,4.4,0,1,0,0,1,0
502.8,43,0.4,1,0,0,0,0,1
502.7,149,3.9,1,0,0,0,1,0
502.6,184,0.6,0,1,0,0,0,1
502.6,46,0.2,1,0,0,0,0,1
502.5,198,-0.6,0,1,0,0,0,1
502.5,642,0.1,0,1,0,0,0,1
502.4,342,0.4,1,0,0,0,0,1
502.4,780,-0.3,0,1,0,0,0,1
502.3,64,0.1,1,0,0,0,0,1
502.3,91,0.4,1,0,0,0,0,1
502.2,385,-0.4,0,1,0,0,0,1
502.1,1138,0.9,1,0,0,0,1,0
502.1,70,1.1,1,0,0,0,0,1
502.1,244,0.4,0,1,0,0,0,1
502,347,3.8,0,1,0,0,1,0
502,214,4.5,1,0,0,0,0,1
501.9,71,0.1,1,0,0,0,0,1
501.8,694,-0.3,1,0,0,0,0,1
501.7,638,-2.8,0,1,0,0,0,1
501.6,207,0.5,0,1,0,0,0,1
501.6,252,0,0,1,0,0,0,1
501.6,121,-0.2,1,0,0,0,0,1
501.5,679,-0.4,1,0,0,0,0,1
501.5,77,0.4,1,0,0,0,0,1
501.4,248,0.1,1,0,0,0,0,1
501.4,73,0,1,0,0,0,0,1
501.4,1598,-0.3,0,1,0,0,0,1
501.4,52,0.7,1,0,0,0,0,1
501.3,90,0.3,0,1,0,0,0,1
501.3,90,0.9,1,0,0,0,0,1
501.3,180,0.5,1,0,0,0,0,1
501.2,111,-0.5,0,1,0,0,0,1
501.1,1728,0,0,1,0,0,0,1
501.1,717,0,1,0,0,0,0,1
501.1,757,-0.5,0,1,0,1,0,0
501,696,0.1,1,0,0,0,0,1
500.9,154,1.7,0,1,0,0,1,0
500.9,423,-0.3,0,1,0,0,0,1
500.9,76,0.4,1,0,0,0,0,1
500.8,1150,-0.4,0,1,0,1,0,0
500.7,99,1.3,1,0,0,0,0,1
500.7,33,1,1,0,0,0,0,1
500.6,70,0.1,1,0,0,0,0,1
500.6,194,0.3,0,1,0,0,0,1
500.6,109,0.1,1,0,0,0,0,1
500.6,521,0.4,1,0,0,0,0,1
500.5,262,-0.6,1,0,0,1,0,0
500.4,153,-0.2,1,0,0,0,0,1
500.3,461,0.4,1,0,0,0,0,1
500.3,569,-0.1,1,0,0,0,0,1
500.3,306,-0.4,1,0,0,0,0,1
500.2,361,-4.2,1,0,0,0,0,1
500.2,49,0.7,0,1,0,0,0,1
500.2,3050,-0.3,0,1,0,0,0,1
500.1,126,-1.5,0,1,0,0,0,1
500.1,286,0.8,1,0,0,0,0,1
500.1,58,-1.1,1,0,0,0,0,1
500,79,0.9,0,1,0,0,0,1
500,580,0.1,0,1,0,0,0,1
500,91,0.6,1,0,0,0,0,1
499.9,164,5.5,1,0,0,0,1,0
499.9,2318,-0.2,0,1,0,0,0,1
499.6,637,-0.2,0,1,0,0,0,1
499.5,374,-0.2,1,0,0,0,0,1
499.4,109,0.4,1,0,0,0,0,1
499.4,765,-0.2,0,1,0,0,0,1
499.4,90,0.6,1,0,0,0,0,1
499.4,250,-0.9,0,1,0,0,0,1
499.4,116,0.3,1,0,0,0,0,1
499.3,472,-0.1,0,1,0,0,0,1
499.3,37,0.8,1,0,0,0,0,1
499,645,-3.9,0,1,0,0,0,1
499,329,-0.3,0,1,0,0,0,1
499,262,0,1,0,0,0,0,1
499,71,0.4,0,1,0,0,0,1
499,350,0,0,1,0,0,0,1
498.9,123,1.1,1,0,0,0,0,1
498.9,204,0.1,1,0,0,0,0,1
498.9,111,-0.1,1,0,0,0,0,1
498.9,354,-0.2,0,1,0,0,0,1
498.8,5570,-0.7,0,1,0,1,0,0
498.8,752,-0.8,1,0,0,1,0,0
498.7,95,0.4,0,1,0,0,0,1
498.7,1681,-0.3,0,1,0,0,0,1
498.5,154,3.5,1,0,0,0,0,1
498.4,931,0.1,0,1,0,0,0,1
498.4,199,0.1,1,0,0,0,0,1
498.3,253,2.8,1,0,0,0,1,0
498.3,713,-2.9,0,1,0,0,0,1
498.3,159,-0.9,1,0,0,0,0,1
498.2,473,0.5,1,0,0,0,0,1
498.2,1129,-1.1,0,1,0,1,0,0
498.2,866,1.4,0,1,0,0,0,1
498.2,522,-0.3,1,0,0,0,0,1
498.1,235,0.5,1,0,0,0,0,1
498,48,0.6,1,0,0,0,0,1
497.9,107,-6.5,0,1,0,0,0,1
497.9,8108,-0.3,0,1,0,0,0,1
497.9,5064,0,0,1,0,0,0,1
497.9,338,-0.3,0,1,0,0,0,1
497.8,113,0.5,0,1,0,0,0,1
497.8,452,0.1,1,0,0,0,0,1
497.7,400,0.1,0,1,0,0,0,1
