row_index,site_id,fips
112,0200037,34039
113,0200078,34029
114,0200101,34003
115,0200109,34023
116,0200114,34013
117,0200136,34027
118,0200144,34035
119,0200146,34017
120,0200188,34015
121,0200200,34015
122,0200202,34011
123,0200203,34015
124,0200209,34011
125,0200232,34005
126,0200234,34037
127,0200273,34003
128,0200278,34007
129,0200280,34007
130,0200290,34037
131,0200299,34007
132,0200303,34023
133,0200307,34015
134,0200316,34003
135,0200327,34015
136,0200332,34027
137,0200333,34005
138,0200340,34013
139,0200346,34023
140,0200359,34035
141,0200362,34001
142,0200364,34015
143,0200375,34025
144,0200390,34033
145,0200397,34025
146,0200398,34023
147,0200401,34017
148,0200429,34023
149,0200431,34003
150,0200439,34005
151,0200450,34035
152,0200455,34039
153,0200474,34025
154,0200484,34017
155,0200489,34027
156,0200499,34023
157,0200516,34007
158,0200517,34023
159,0200528,34025
160,0200540,34029
161,0200549,34029
162,0200551,34007
163,0200552,34015
164,0200554,34005
165,0200557,34015
166,0200558,34025
167,0200569,34017
168,0200570,34023
169,0200573,34027
170,0200581,34005
171,0200582,34005
172,0200607,34023
173,0200613,34013
174,0200620,34005
175,0200625,34005
176,0200627,34007
177,0200638,34025
178,0200639,34001
179,0200653,34027
180,0200662,34029
181,0200663,34031
182,0200665,34003
183,0200670,34035
184,0200674,34003
185,0200675,34011
186,0200678,34009
187,0200681,34029
188,0200719,34027
189,0200724,34023
190,0200738,34029
191,0200739,34029
192,0200741,34025
193,0200742,34029
194,0200764,34025
195,0200765,34003
196,0200766,34027
197,0200767,34029
198,0200768,34027
199,0200770,34035
200,0200771,34035
201,0200772,34013
202,0200774,34019
203,0200775,34027
204,0200776,34023
205,0200781,34023
206,0200791,34005
207,0200792,34019
208,0200793,34007
209,0200794,34011
210,0200803,34001
211,0200830,34001
212,0200874,34011
213,0200986,34001
214,0200995,34005
215,0201073,34003
216,0201075,34041
217,0201094,34035
218,0201112,34023
219,0201116,34023
220,0201160,34025
221,0201162,34005
222,0201168,34027
223,0201174,34029
224,0201178,34001
225,0201184,36059
226,0201187,36059
227,0201188,36071
228,0201191,36087
229,0201192,36075
230,0201202,36033
231,0201207,36073
232,0201218,36083
233,0201219,36059
234,0201266,36063
235,0201290,36063
236,0201302,36051
237,0201324,36059
238,0201335,36103
239,0201338,36059
240,0201344,36059
241,0201346,36103
242,0201350,36039
243,0201452,36007
244,0201477,36059
245,0201491,36079
246,0201492,36071
247,0201507,36065
248,0201552,36001
249,0201588,36027
250,0201604,36015
251,0201644,36089
252,0201687,36017
253,0201706,36063
254,0201714,36103
255,0201716,36035
256,0201764,36025
257,0201766,36037
258,0201770,36025
259,0201830,36007
260,0201836,36075
261,0201858,36091
262,0201867,36105
263,0201872,72051
264,0201877,36009
265,0201887,36009
266,0201951,36059
267,0202045,36027
268,0202084,36091
269,0202088,36027
270,0202090,36089
271,0202093,36003
272,0202121,36059
273,0202125,36075
274,0202142,36015
275,0202150,36063
276,0202151,36029
277,0202153,36079
278,0202155,36059
279,0202182,36091
280,0202187,36103
281,0202198,36103
282,0202228,36007
283,0202229,36091
284,0202235,36007
285,0202236,36103
286,0202237,36007
287,0202239,36103
288,0202245,36103
289,0202257,36037
290,0202264,36007
291,0202267,36111
292,0202269,36119
293,0202277,36087
294,0202284,36027
295,0202301,36103
296,0202329,36007
297,0202330,36103
298,0202366,36053
299,0202425,36099
300,0202438,36065
301,0202439,36019
302,0202464,72075
303,0202480,72013
304,0202511,72077
305,0202533,72145
306,0202550,72069
307,0202558,72143
308,0202559,72057
309,0202609,36023
310,0202634,36103
311,0202636,36103
312,0202698,72137
313,0202749,78030
314,0202755,34023
315,0202816,36079
316,0202841,36103
317,0202869,72145
318,0202972,36059
319,0202979,72091
320,0202985,72013
321,0203129,36011
322,0203341,36073
323,0203382,36067
324,0203407,36047
325,0203408,36025
326,0203481,36037
327,0203535,34021
328,0203570,72137
329,0203580,34007
330,0203649,34013
331,0203733,34019
332,0203757,34025
333,0203853,36059
334,0203909,34007
335,0203945,36111
336,0203974,36059
337,0204003,34007
338,0204037,34011
339,0204061,34015
340,0204087,34015
341,0204096,34007
342,0204097,34035
343,0204148,36103
344,0204167,36059
345,0204175,36071
346,0204190,36111
347,0204218,36059
348,0204232,34013
349,0204234,36059
350,0204241,34025
